node_index,frame_id,direct_pose_qualified,attitude_qualified,paused,backward,severe_motion_clusters,image_quality,reliable_local_edge_count,reliable_local_left_count,reliable_local_right_count,reliable_local_edge_indices,severe_motion_cluster_incident_edge_indices,rejection_reasons,rejected_incident_reasons
0,117,True,True,False,False,False,0.8702862985932897,2,0,2,0;11,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
1,118,True,True,False,False,False,0.8714337853304195,2,1,1,0;1,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
2,119,True,True,False,False,False,0.8735585204064249,3,2,1,1;2;11,13,incident_edge:excessive_parallax_clusters;incident_edge:insufficient_inlier_ratio,excessive_parallax_clusters;insufficient_inlier_ratio
3,120,True,True,False,False,False,0.8734285263156346,2,1,1,2;3,14,incident_edge:excessive_parallax_clusters;incident_edge:insufficient_inlier_ratio,excessive_parallax_clusters;insufficient_inlier_ratio
4,121,True,True,False,False,False,0.8777693685675365,2,1,1,3;4,13;15,incident_edge:excessive_parallax_clusters;incident_edge:insufficient_inlier_ratio,excessive_parallax_clusters;insufficient_inlier_ratio
5,122,True,True,False,False,False,0.8754515687837225,3,1,2,4;5;16,14;26,incident_edge:excessive_parallax_clusters;incident_edge:insufficient_inlier_ratio,excessive_parallax_clusters;insufficient_inlier_ratio
6,123,True,True,False,False,False,0.8772861151402314,3,1,2,5;6;17,15,incident_edge:excessive_parallax_clusters;incident_edge:insufficient_inlier_ratio,excessive_parallax_clusters;insufficient_inlier_ratio
7,124,True,True,False,False,False,0.8759621215765738,5,2,3,6;7;16;18;28,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
8,125,True,True,False,False,False,0.8762557958580693,4,2,2,7;8;17;19,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
9,126,True,True,False,False,False,0.8765729887704714,4,2,2,8;9;18;20,26,incident_edge:excessive_parallax_clusters,excessive_parallax_clusters
10,127,True,True,False,False,False,0.8736807946182223,3,2,1,9;10;19,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
11,128,True,True,False,False,False,0.8739031622003384,3,3,0,10;20;28,,,
