node_index,frame_id,direct_pose_qualified,attitude_qualified,paused,backward,severe_motion_clusters,image_quality,reliable_local_edge_count,reliable_local_left_count,reliable_local_right_count,reliable_local_edge_indices,severe_motion_cluster_incident_edge_indices,rejection_reasons,rejected_incident_reasons
0,54,True,True,False,False,False,0.8348359451041667,2,0,2,0;99,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
1,60,True,True,False,False,False,0.8345577197774764,3,1,2,0;1;100,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
2,66,True,True,False,False,False,0.8360770755660031,4,2,2,1;2;99;101,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
3,72,True,True,False,False,False,0.8357817445391089,4,2,2,2;3;100;102,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
4,78,True,True,False,False,False,0.8356075547832098,4,2,2,3;4;101;103,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
5,84,True,True,False,False,False,0.8364265209990116,3,2,1,4;5;102,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
6,90,True,True,False,False,False,0.8353627213114377,3,2,1,5;6;103,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
7,97,True,True,False,False,False,0.8343275834763964,2,1,1,6;7,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
8,104,True,True,False,False,False,0.836160618447028,2,1,1,7;8,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
9,111,True,True,False,False,False,0.8381354940435628,2,1,1,8;9,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
10,118,True,True,False,False,False,0.8370947997413318,2,1,1,9;10,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
11,125,True,True,False,False,False,0.8373299170789927,2,1,1,10;11,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
12,131,True,True,False,False,False,0.8375888551394408,2,1,1,11;12,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
13,137,True,True,False,False,False,0.8355545480080675,2,1,1,12;13,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
14,143,True,True,False,False,False,0.8348006707295139,2,1,1,13;14,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
15,150,True,True,False,False,False,0.8308009707095227,2,1,1,14;15,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
16,156,True,True,False,False,False,0.8272597379358588,2,1,1,15;16,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
17,163,True,True,False,False,False,0.8270539725234861,2,1,1,16;17,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
18,170,True,True,False,False,False,0.8254006805572688,2,1,1,17;18,117,incident_edge:excessive_parallax_clusters;incident_edge:insufficient_inlier_ratio,excessive_parallax_clusters;insufficient_inlier_ratio
19,176,True,True,False,False,False,0.8273235010816228,2,1,1,18;19,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
20,183,True,True,False,False,False,0.827647116707092,2,1,1,19;20,117,incident_edge:excessive_parallax_clusters;incident_edge:insufficient_inlier_ratio,excessive_parallax_clusters;insufficient_inlier_ratio
21,189,True,True,False,False,False,0.820493955949074,2,1,1,20;21,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
22,195,True,True,False,False,False,0.8190205477781073,2,1,1,21;22,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
23,202,True,True,False,False,False,0.8179348635854575,2,1,1,22;23,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
24,208,True,True,False,False,False,0.8178170753441703,2,1,1,23;24,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
25,215,True,True,False,False,False,0.8172530578409847,2,1,1,24;25,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
26,222,True,True,False,False,False,0.8186884250017137,2,1,1,25;26,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
27,229,True,True,False,False,False,0.8170772016741781,3,1,2,26;27;126,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
28,236,True,True,False,False,False,0.821166363224079,2,1,1,27;28,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
29,242,True,True,False,False,False,0.8167772586561369,3,2,1,28;29;126,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
30,248,True,True,False,False,False,0.8189459755676054,2,1,1,29;30,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
31,256,True,True,False,False,False,0.814170400022483,3,1,2,30;31;130,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
32,263,True,True,False,False,False,0.813748255284725,2,1,1,31;32,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
33,270,True,True,False,False,False,0.8108308462189322,4,2,2,32;33;130;132,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
34,276,True,True,False,False,False,0.8121886500815247,2,1,1,33;34,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
35,283,True,True,False,False,False,0.8132029578964484,3,2,1,34;35;132,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
36,289,True,True,False,False,False,0.8119347767354228,2,1,1,35;36,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
37,296,True,True,False,False,False,0.8104814695304287,3,1,2,36;37;136,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
38,303,True,True,False,False,False,0.8103747744537304,3,1,2,37;38;137,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
39,309,True,True,False,False,False,0.8094091300163724,4,2,2,38;39;136;138,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
40,315,True,True,False,False,False,0.8082922948936981,4,2,2,39;40;137;139,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
41,322,True,True,False,False,False,0.8093099360650877,3,2,1,40;41;138,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
42,329,True,True,False,False,False,0.8068766565478254,4,2,2,41;42;139;141,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
43,336,True,True,False,False,False,0.8066764714880474,3,1,2,42;43;142,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
44,342,True,True,False,False,False,0.8064516515618958,3,2,1,43;44;141,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
45,348,True,True,False,False,False,0.805175030450298,3,2,1,44;45;142,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
46,355,True,True,False,False,False,0.8102033741346124,2,1,1,45;46,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
47,362,True,True,False,False,False,0.8069004726016868,2,1,1,46;47,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
48,369,True,True,False,False,False,0.8076184705171019,2,1,1,47;48,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
49,375,True,True,False,False,False,0.8061703069473453,2,1,1,48;49,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
50,382,True,True,False,False,False,0.807062801382534,2,1,1,49;50,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
51,389,True,True,False,False,False,0.8068440340367131,2,1,1,50;51,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
52,395,True,True,False,False,False,0.8059508026995378,2,1,1,51;52,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
53,401,True,True,False,False,False,0.8060869857422764,2,1,1,52;53,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
54,408,True,True,False,False,False,0.8069829958752137,2,1,1,53;54,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
55,415,True,True,False,False,False,0.8070329179874551,2,1,1,54;55,,incident_edge:insufficient_inlier_ratio,insufficient_inlier_ratio
