node_index,frame_id,direct_pose_qualified,attitude_qualified,paused,backward,severe_motion_clusters,image_quality,reliable_local_edge_count,reliable_local_left_count,reliable_local_right_count,reliable_local_edge_indices,severe_motion_cluster_incident_edge_indices,rejection_reasons,rejected_incident_reasons
0,35,True,True,True,False,False,0.8339717319583317,1,0,1,249,,paused;incident_edge:pose_direction_disagreement,pose_direction_disagreement
1,42,True,True,True,False,False,0.8338286359077253,2,0,2,126;250,,paused;missing_reliable_local_left_support;incident_edge:pose_direction_disagreement,pose_direction_disagreement
2,48,True,True,True,False,False,0.8349339456735692,2,0,2,2;127,251,paused;missing_reliable_local_left_support;incident_edge:excessive_parallax_clusters;incident_edge:pose_direction_disagreement,excessive_parallax_clusters;pose_direction_disagreement
3,54,True,True,True,False,False,0.8348359451041667,4,2,2,2;3;126;128,252,paused;incident_edge:excessive_parallax_clusters;incident_edge:insufficient_model_inlier_ratio_retained,excessive_parallax_clusters;insufficient_model_inlier_ratio_retained
4,60,True,True,False,False,False,0.8345577197774764,5,3,2,3;4;127;129;249,253,incident_edge:excessive_parallax_clusters;incident_edge:insufficient_model_inlier_ratio_retained,excessive_parallax_clusters;insufficient_model_inlier_ratio_retained
5,66,True,True,False,False,False,0.8360770755660031,5,3,2,4;5;128;130;250,,incident_edge:insufficient_model_inlier_ratio_retained,insufficient_model_inlier_ratio_retained
6,72,True,True,False,False,False,0.8357817445391089,4,2,2,5;6;129;131,251;255,incident_edge:excessive_parallax_clusters;incident_edge:insufficient_model_inlier_ratio_retained,excessive_parallax_clusters;insufficient_model_inlier_ratio_retained
7,78,True,True,False,False,False,0.8356075547832098,4,2,2,6;7;130;132,252;256,incident_edge:excessive_parallax_clusters;incident_edge:insufficient_effective_inlier_ratio_detected;incident_edge:insufficient_model_inlier_ratio_retained,excessive_parallax_clusters;insufficient_effective_inlier_ratio_detected;insufficient_model_inlier_ratio_retained
8,84,True,True,False,False,False,0.8364265209990116,4,2,2,7;8;131;133,253;257,incident_edge:excessive_parallax_clusters;incident_edge:insufficient_effective_inlier_ratio_detected;incident_edge:insufficient_model_inlier_ratio_retained,excessive_parallax_clusters;insufficient_effective_inlier_ratio_detected;insufficient_model_inlier_ratio_retained
9,90,True,True,False,False,False,0.8353627213114377,4,2,2,8;9;132;134,,incident_edge:insufficient_effective_inlier_ratio_detected;incident_edge:insufficient_model_inlier_ratio_retained,insufficient_effective_inlier_ratio_detected;insufficient_model_inlier_ratio_retained
