assignment_index,source_index,frame_id,center_x,left_x,right_x,width,zero_width,placement_method,risky
0,0,0,421.8267517089844,0,428,428,False,origin,False
1,1,1,434.7066955566406,428,441,13,False,session_median,False
2,2,2,447.5866394042969,441,454,13,False,session_median,False
3,3,3,460.4665832519531,454,467,13,False,session_median,False
4,4,4,473.3465270996094,467,480,13,False,session_median,False
5,5,5,486.2264709472656,480,493,13,False,session_median,False
6,6,6,499.1064147949219,493,506,13,False,session_median,False
7,7,7,511.9863586425781,506,518,12,False,session_median,False
8,8,8,524.8663024902344,518,531,13,False,session_median,False
9,9,9,537.7462463378906,531,544,13,False,session_median,False
10,10,10,550.6261901855469,544,557,13,False,session_median,False
11,11,11,563.5061340332031,557,570,13,False,session_median,False
12,12,12,576.3860778808594,570,583,13,False,session_median,False
13,13,13,589.2660217285156,583,596,13,False,session_median,False
14,14,14,602.1459655761719,596,609,13,False,session_median,False
15,15,15,615.0259094238281,609,621,12,False,session_median,False
16,16,16,627.9058532714844,621,634,13,False,session_median,False
17,17,17,640.7857971191406,634,647,13,False,session_median,False
18,18,18,653.6657409667969,647,660,13,False,session_median,False
19,19,19,666.5456848144531,660,673,13,False,session_median,False
20,20,20,679.4256286621094,673,686,13,False,session_median,False
21,21,21,692.3055725097656,686,699,13,False,session_median,False
22,22,22,705.1855163574219,699,712,13,False,session_median,False
23,23,23,718.0654602050781,712,725,13,False,session_median,False
24,24,24,730.9454040527344,725,737,12,False,session_median,False
25,25,25,743.8253479003906,737,750,13,False,session_median,False
26,26,26,756.7052917480469,750,763,13,False,session_median,False
27,27,27,769.5852355957031,763,776,13,False,session_median,False
28,28,28,782.4651794433594,776,789,13,False,session_median,False
29,29,29,795.3451232910156,789,802,13,False,session_median,False
30,30,35,808.1736145019531,802,814,12,False,grid_lk,False
31,31,37,819.2188415527344,814,826,12,False,grid_lk,False
32,32,39,833.3573913574219,826,839,13,False,grid_lk,False
33,33,41,845.1132202148438,839,852,13,False,grid_lk,False
34,34,42,858.7718353271484,852,866,14,False,grid_lk,False
35,35,44,873.6986236572266,866,882,16,False,grid_lk,False
36,36,45,890.7789611816406,882,895,13,False,grid_lk,False
37,37,46,899.8402709960938,895,909,14,False,grid_lk,False
38,38,47,918.95556640625,909,924,15,False,grid_lk,False
39,39,48,929.5022888183594,924,935,11,False,grid_lk,False
40,40,49,940.6025619506836,935,952,17,False,grid_lk,False
41,41,50,962.8560409545898,952,969,17,False,grid_lk,False
42,42,51,974.5030136108398,969,980,11,False,grid_lk,False
43,43,52,986.0729904174805,980,998,18,False,grid_lk,False
44,44,53,1009.1955490112305,998,1015,17,False,grid_lk,False
45,45,54,1021.6875534057617,1015,1028,13,False,grid_lk,False
46,46,55,1034.1932907104492,1028,1047,19,False,grid_lk,False
47,47,56,1060.5461959838867,1047,1067,20,False,grid_lk,False
48,48,57,1074.1228256225586,1067,1088,21,False,grid_lk,False
49,49,58,1102.4465255737305,1088,1110,22,False,grid_lk,False
50,50,59,1117.215690612793,1110,1125,15,False,grid_lk,False
51,51,60,1132.3522872924805,1125,1148,23,False,grid_lk,False
52,52,61,1162.9013900756836,1148,1170,22,False,grid_lk,False
53,53,62,1177.7250595092773,1170,1185,15,False,grid_lk,False
54,54,63,1192.3147048950195,1185,1207,22,False,grid_lk,False
55,55,64,1221.9977798461914,1207,1230,23,False,grid_lk,False
56,56,65,1237.7050552368164,1230,1253,23,False,grid_lk,False
57,57,66,1267.3570938110352,1253,1275,22,False,grid_lk,False
58,58,67,1282.3535842895508,1275,1297,22,False,grid_lk,False
59,59,68,1310.9489517211914,1297,1318,21,False,grid_lk,False
60,60,69,1325.4894790649414,1318,1340,22,False,grid_lk,False
61,61,70,1354.218620300293,1340,1361,21,False,grid_lk,False
62,62,71,1368.2382736206055,1361,1382,21,False,grid_lk,False
63,63,72,1395.563377380371,1382,1402,20,False,grid_lk,False
64,64,73,1409.0800704956055,1402,1416,14,False,grid_lk,False
65,65,74,1422.8943405151367,1416,1430,14,False,grid_lk,False
66,66,75,1436.6970443725586,1430,1444,14,False,grid_lk,False
67,67,76,1450.668571472168,1444,1465,21,False,grid_lk,False
68,68,77,1479.2251510620117,1465,1486,21,False,grid_lk,False
69,69,78,1493.4531021118164,1486,1500,14,False,grid_lk,False
70,70,79,1507.204444885254,1500,1514,14,False,grid_lk,False
71,71,80,1520.6195755004883,1514,1527,13,False,grid_lk,False
72,72,81,1533.7179946899414,1527,1547,20,False,grid_lk,False
73,73,82,1561.0795669555664,1547,1568,21,False,grid_lk,False
74,74,83,1573.932975769043,1568,1580,12,False,grid_lk,False
75,75,84,1586.6158065795898,1580,1593,13,False,grid_lk,False
76,76,85,1599.2558822631836,1593,1606,13,False,grid_lk,False
77,77,86,1612.0799179077148,1606,1618,12,False,grid_lk,False
78,78,87,1624.9033889770508,1618,1638,20,False,grid_lk,False
79,79,88,1651.4483108520508,1638,1658,20,False,grid_lk,False
80,80,89,1664.8353958129883,1658,1671,13,False,grid_lk,False
81,81,90,1678.1342849731445,1671,1685,14,False,grid_lk,False
82,82,91,1691.6420974731445,1685,1704,19,False,grid_lk,False
83,83,92,1717.331184387207,1704,1724,20,False,grid_lk,False
84,84,93,1730.8303298950195,1724,1737,13,False,grid_lk,False
85,85,94,1744.087043762207,1737,1751,14,False,grid_lk,False
86,86,95,1757.3958206176758,1751,1770,19,False,grid_lk,False
87,87,96,1783.4372329711914,1770,1790,20,False,grid_lk,False
88,88,97,1797.504981994629,1790,1804,14,False,grid_lk,False
89,89,98,1810.3849258422852,1804,1823,19,False,grid_lk,False
90,90,99,1835.8505630493164,1823,1842,19,False,grid_lk,False
91,91,100,1848.6586685180664,1842,1855,13,False,grid_lk,False
92,92,101,1860.7939834594727,1855,1867,12,False,grid_lk,False
93,93,102,1873.0616836547852,1867,1885,18,False,grid_lk,False
94,94,103,1896.4448623657227,1885,1902,17,False,grid_lk,False
95,95,104,1907.7532119750977,1902,1913,11,False,grid_lk,False
96,96,105,1918.6186599731445,1913,1924,11,False,grid_lk,False
97,97,106,1929.2045059204102,1924,1939,15,False,grid_lk,False
98,98,107,1949.7316055297852,1939,1955,16,False,grid_lk,False
99,99,108,1959.6127700805664,1955,1969,14,False,grid_lk,False
100,100,109,1979.1758193969727,1969,1984,15,False,grid_lk,False
101,101,110,1988.4057388305664,1984,1993,9,False,grid_lk,False
102,102,111,1997.4261856079102,1993,2006,13,False,grid_lk,False
103,103,112,2015.163185119629,2006,2019,13,False,grid_lk,False
104,104,113,2023.7627334594727,2019,2028,9,False,grid_lk,False
105,105,114,2032.3270645141602,2028,2040,12,False,grid_lk,False
106,106,115,2047.9680252075195,2040,2058,18,False,grid_lk,False
107,107,117,2068.8584518432617,2058,2075,17,False,grid_lk,False
108,108,119,2080.961326599121,2075,2086,11,False,grid_lk,False
109,109,120,2090.335350036621,2086,2096,10,False,grid_lk,False
110,110,122,2102.028739929199,2096,2107,11,False,grid_lk,False
111,111,125,2111.754264831543,2107,2116,9,False,grid_lk,False
112,112,128,2121.0837326049805,2116,2548,432,False,grid_lk,False
