assignment_index,source_index,frame_id,center_x,left_x,right_x,width,zero_width,placement_method,risky
0,0,0,421.8267517089844,0,426,426,False,origin,False
1,1,8,429.8392028808594,426,434,8,False,session_median,False
2,2,16,437.8516540527344,434,442,8,False,session_median,False
3,3,24,445.8641052246094,442,450,8,False,session_median,False
4,4,32,453.8765563964844,450,458,8,False,session_median,False
5,5,40,461.8890075683594,458,466,8,False,session_median,False
6,6,48,469.9014587402344,466,474,8,False,session_median,False
7,7,59,478.1751708984375,474,482,8,False,grid_lk,False
8,8,71,486.5682067871094,482,491,9,False,grid_lk,False
9,9,82,494.5899353027344,491,499,8,False,grid_lk,False
10,10,90,504.0421447753906,499,508,9,False,grid_lk,False
11,11,97,512.0493774414062,508,516,8,False,grid_lk,False
12,12,104,520.77001953125,516,525,9,False,grid_lk,False
13,13,111,528.98095703125,525,533,8,False,grid_lk,False
14,14,119,537.7074127197266,533,542,9,False,grid_lk,False
15,15,127,546.2387542724609,542,551,9,False,grid_lk,False
16,16,135,555.2548065185547,551,560,9,False,grid_lk,False
17,17,143,564.8743133544922,560,569,9,False,grid_lk,False
18,18,150,573.7265472412109,569,578,9,False,grid_lk,False
19,19,157,582.0589904785156,578,586,8,False,grid_lk,False
20,20,165,590.2656860351562,586,595,9,False,grid_lk,False
21,21,173,598.8941192626953,595,603,8,False,grid_lk,False
22,22,181,607.6570129394531,603,612,9,False,grid_lk,False
23,23,189,616.2309417724609,612,620,8,False,grid_lk,False
24,24,197,624.7519073486328,620,629,9,False,grid_lk,False
25,25,205,633.2863616943359,629,638,9,False,grid_lk,False
26,26,214,642.4369201660156,638,646,8,False,grid_lk,False
27,27,223,650.5308532714844,646,655,9,False,grid_lk,False
28,28,232,659.1300201416016,655,664,9,False,grid_lk,False
29,29,240,667.9739074707031,664,672,8,False,grid_lk,False
30,30,248,676.8266143798828,672,681,9,False,grid_lk,False
31,31,256,684.8814697265625,681,689,8,False,grid_lk,False
32,32,265,692.9815216064453,689,697,8,False,grid_lk,False
33,33,273,700.9926452636719,697,705,8,False,grid_lk,False
34,34,281,709.1537322998047,705,714,9,False,grid_lk,False
35,35,289,717.9056854248047,714,722,8,False,grid_lk,False
36,36,297,726.6083526611328,722,731,9,False,grid_lk,False
37,37,306,734.9175567626953,731,739,8,False,grid_lk,False
38,38,316,743.0963745117188,739,747,8,False,grid_lk,False
39,39,326,751.3895568847656,747,756,9,False,grid_lk,False
40,40,335,760.0871734619141,756,764,8,False,grid_lk,False
41,41,344,768.7564239501953,764,773,9,False,grid_lk,False
42,42,351,777.0607604980469,773,781,8,False,grid_lk,False
43,43,357,785.2216491699219,781,789,8,False,grid_lk,False
44,44,363,793.7557983398438,789,798,9,False,grid_lk,False
45,45,369,802.2339630126953,798,807,9,False,grid_lk,False
46,46,375,812.6399078369141,807,817,10,False,grid_lk,False
47,47,381,821.0533905029297,817,825,8,False,grid_lk,False
48,48,388,829.6900634765625,825,834,9,False,grid_lk,False
49,49,393,837.723876953125,834,842,8,False,grid_lk,False
50,50,399,845.8420104980469,842,850,8,False,grid_lk,False
51,51,405,854.9875793457031,850,859,9,False,grid_lk,False
52,52,411,863.1878967285156,859,868,9,False,grid_lk,False
53,53,417,872.0304565429688,868,876,8,False,grid_lk,False
54,54,424,880.4687194824219,876,884,8,False,grid_lk,False
55,55,429,888.4765625,884,893,9,False,grid_lk,False
56,56,436,896.9566802978516,893,901,8,False,grid_lk,False
57,57,442,905.6795501708984,901,910,9,False,grid_lk,False
58,58,448,914.1483306884766,910,919,9,False,grid_lk,False
59,59,453,922.8596343994141,919,927,8,False,grid_lk,False
60,60,459,931.3115081787109,927,936,9,False,grid_lk,False
61,61,465,939.9219818115234,936,944,8,False,grid_lk,False
62,62,470,948.7963409423828,944,953,9,False,grid_lk,False
63,63,476,957.1732940673828,953,962,9,False,grid_lk,False
64,64,482,966.1105499267578,962,971,9,False,grid_lk,False
65,65,488,974.9049224853516,971,979,8,False,grid_lk,False
66,66,495,983.2535247802734,979,988,9,False,grid_lk,False
67,67,502,991.8348846435547,988,996,8,False,grid_lk,False
68,68,509,1000.0549926757812,996,1005,9,False,grid_lk,False
69,69,515,1009.5443420410156,1005,1014,9,False,grid_lk,False
70,70,521,1018.0300140380859,1014,1022,8,False,grid_lk,False
