assignment_index,source_index,frame_id,center_x,left_x,right_x,width,zero_width,placement_method,risky
0,0,0,421.8267517089844,0,426,426,False,origin,False
1,1,67,430.4266357421875,426,434,8,False,grid_lk,False
2,2,78,438.44219970703125,434,443,9,False,grid_lk,False
3,3,87,447.09112548828125,443,451,8,False,grid_lk,False
4,4,94,455.4755554199219,451,460,9,False,grid_lk,False
5,5,101,464.0726318359375,460,468,8,False,grid_lk,False
6,6,108,472.6930847167969,468,477,9,False,grid_lk,False
7,7,116,480.9664764404297,477,485,8,False,grid_lk,False
8,8,124,489.47779846191406,485,494,9,False,grid_lk,False
9,9,132,498.6398162841797,494,503,9,False,grid_lk,False
10,10,140,507.0054168701172,503,511,8,False,grid_lk,False
11,11,146,515.4105377197266,511,520,9,False,grid_lk,False
12,12,154,525.0833740234375,520,529,9,False,grid_lk,False
13,13,162,533.6459350585938,529,538,9,False,grid_lk,False
14,14,170,541.9886016845703,538,546,8,False,grid_lk,False
15,15,178,550.7931671142578,546,555,9,False,grid_lk,False
16,16,186,559.5098571777344,555,564,9,False,grid_lk,False
17,17,194,567.9304962158203,564,572,8,False,grid_lk,False
18,18,202,576.5341033935547,572,581,9,False,grid_lk,False
19,19,210,584.9752502441406,581,589,8,False,grid_lk,False
20,20,218,593.0599670410156,589,597,8,False,grid_lk,False
21,21,228,601.8271026611328,597,607,10,False,grid_lk,False
22,22,237,611.3426666259766,607,616,9,False,grid_lk,False
23,23,245,619.7750396728516,616,624,8,False,grid_lk,False
24,24,253,628.081298828125,624,633,9,False,grid_lk,False
25,25,262,637.2650146484375,633,642,9,False,grid_lk,False
26,26,271,645.9740142822266,642,650,8,False,grid_lk,False
27,27,280,654.2404022216797,650,658,8,False,grid_lk,False
28,28,287,662.7086639404297,658,667,9,False,grid_lk,False
29,29,295,670.7398834228516,667,675,8,False,grid_lk,False
30,30,303,678.8064117431641,675,683,8,False,grid_lk,False
31,31,313,687.2329711914062,683,692,9,False,grid_lk,False
32,32,324,696.4464416503906,692,701,9,False,grid_lk,False
33,33,333,705.0224761962891,701,709,8,False,grid_lk,False
34,34,342,713.7009429931641,709,718,9,False,grid_lk,False
35,35,350,722.674560546875,718,727,9,False,grid_lk,False
36,36,356,730.8034057617188,727,735,8,False,grid_lk,False
37,37,362,739.2687072753906,735,743,8,False,grid_lk,False
38,38,368,747.6192474365234,743,752,9,False,grid_lk,False
39,39,374,756.6525115966797,752,762,10,False,grid_lk,False
40,40,380,766.5275421142578,762,771,9,False,grid_lk,False
41,41,387,775.2544860839844,771,780,9,False,grid_lk,False
42,42,393,784.3467102050781,780,788,8,False,grid_lk,False
43,43,399,792.46484375,788,797,9,False,grid_lk,False
44,44,405,801.6104125976562,797,806,9,False,grid_lk,False
45,45,411,809.8107299804688,806,814,8,False,grid_lk,False
46,46,417,818.6532897949219,814,823,9,False,grid_lk,False
47,47,424,827.091552734375,823,831,8,False,grid_lk,False
48,48,429,835.0993957519531,831,839,8,False,grid_lk,False
49,49,436,843.5795135498047,839,848,9,False,grid_lk,False
