assignment_index,source_index,frame_id,center_x,left_x,right_x,width,zero_width,placement_method,risky
0,0,0,421.8267517089844,0,427,427,False,origin,False
1,1,34,431.68855830704547,427,437,10,False,motion_hypothesis+pose_low_frequency_soft,False
2,2,36,441.3354651251901,437,447,10,False,motion_hypothesis+pose_low_frequency_soft,False
3,3,38,453.1948624767013,447,458,11,False,motion_hypothesis+pose_low_frequency_soft,False
4,4,39,462.49523971081624,458,470,12,False,motion_hypothesis+pose_low_frequency_soft,False
5,5,41,476.74788413109405,470,481,11,False,motion_hypothesis+pose_low_frequency_soft,False
6,6,42,485.7271338637262,481,490,9,False,motion_hypothesis+pose_low_frequency_soft,False
7,7,43,494.93138367216443,490,500,10,False,motion_hypothesis+pose_low_frequency_soft,False
8,8,44,504.30683553735093,500,510,10,False,motion_hypothesis+pose_low_frequency_soft,False
9,9,45,515.8588764458203,510,521,11,False,motion_hypothesis+pose_low_frequency_soft,False
10,10,46,526.9735791929918,521,533,12,False,motion_hypothesis+pose_low_frequency_soft,False
11,11,47,539.9153060014805,533,546,13,False,motion_hypothesis+pose_low_frequency_soft,False
12,12,48,552.700182210337,546,559,13,False,motion_hypothesis+pose_low_frequency_soft,False
13,13,49,565.0382417703896,559,573,14,False,motion_hypothesis+pose_low_frequency_soft,False
14,14,50,580.0144436690254,573,587,14,False,motion_hypothesis+pose_low_frequency_soft,False
15,15,51,593.0649707354246,587,600,13,False,motion_hypothesis+pose_low_frequency_soft,False
16,16,52,606.2122984857386,600,614,14,False,motion_hypothesis+pose_low_frequency_soft,False
17,17,53,622.2312726531017,614,629,15,False,motion_hypothesis+pose_low_frequency_soft,False
18,18,54,636.4493035699498,629,643,14,False,motion_hypothesis+pose_low_frequency_soft,False
19,19,55,650.4070556859041,643,659,16,False,motion_hypothesis+pose_low_frequency_soft,False
20,20,56,667.2352467071214,659,675,16,False,motion_hypothesis+pose_low_frequency_soft,False
21,21,57,682.3593907786005,675,691,16,False,motion_hypothesis+pose_low_frequency_soft,False
22,22,58,700.1289503776698,691,708,17,False,motion_hypothesis+pose_low_frequency_soft,False
