assignment_index,source_index,frame_id,center_x,left_x,right_x,width,zero_width,placement_method,risky
0,0,0,421.8267517089844,0,426,426,False,origin,False
1,1,67,430.8055877685547,426,435,9,False,motion_hypothesis,False
2,2,78,438.8843688964844,435,443,8,False,motion_hypothesis,False
3,3,87,447.62158203125,443,452,9,False,motion_hypothesis,False
4,4,94,456.22618103027344,452,461,9,False,motion_hypothesis,False
5,5,101,464.9528045654297,461,469,8,False,motion_hypothesis,False
6,6,108,473.70689392089844,469,478,9,False,motion_hypothesis,False
7,7,116,482.0660400390625,478,486,8,False,motion_hypothesis,False
8,8,124,490.651123046875,486,495,9,False,motion_hypothesis,False
9,9,132,499.8952941894531,495,504,9,False,motion_hypothesis,False
10,10,140,508.33404541015625,504,513,9,False,motion_hypothesis,False
11,11,146,516.9338226318359,513,522,9,False,motion_hypothesis,False
12,12,154,526.7384338378906,522,531,9,False,motion_hypothesis,False
13,13,162,535.4195709228516,531,540,9,False,motion_hypothesis,False
14,14,170,543.8311157226562,540,548,8,False,motion_hypothesis,False
15,15,177,551.8585815429688,548,556,8,False,motion_hypothesis,False
16,16,184,559.8925018310547,556,564,8,False,motion_hypothesis,False
17,17,192,568.4682922363281,564,573,9,False,motion_hypothesis,False
18,18,200,577.2101440429688,573,582,9,False,motion_hypothesis,False
19,19,208,585.8369750976562,582,590,8,False,motion_hypothesis,False
20,20,217,594.2168579101562,590,599,9,False,motion_hypothesis,False
21,21,226,602.9882049560547,599,607,8,False,motion_hypothesis,False
22,22,234,611.0754241943359,607,615,8,False,motion_hypothesis,False
23,23,242,619.3194580078125,615,623,8,False,motion_hypothesis,False
24,24,249,627.5471801757812,623,632,9,False,motion_hypothesis,False
25,25,257,635.6133117675781,632,640,8,False,motion_hypothesis,False
26,26,266,643.7178955078125,640,648,8,False,motion_hypothesis,False
27,27,274,651.9033660888672,648,656,8,False,motion_hypothesis,False
28,28,282,660.2065582275391,656,664,8,False,motion_hypothesis,False
29,29,289,668.2322387695312,664,673,9,False,motion_hypothesis,False
30,30,297,677.0363311767578,673,681,8,False,motion_hypothesis,False
31,31,306,685.4575042724609,681,690,9,False,motion_hypothesis,False
32,32,316,693.7761993408203,690,698,8,False,motion_hypothesis,False
33,33,326,702.1813354492188,698,706,8,False,motion_hypothesis,False
34,34,334,710.2108001708984,706,715,9,False,motion_hypothesis,False
35,35,343,718.990966796875,715,723,8,False,motion_hypothesis,False
36,36,350,727.2610015869141,723,731,8,False,motion_hypothesis,False
37,37,356,735.6253967285156,731,740,9,False,motion_hypothesis,False
38,38,362,744.3198089599609,740,749,9,False,motion_hypothesis,False
39,39,368,752.8421936035156,749,757,8,False,motion_hypothesis,False
40,40,374,762.1115112304688,757,767,10,False,motion_hypothesis,False
41,41,380,772.2178192138672,767,777,10,False,motion_hypothesis,False
42,42,387,781.1272125244141,777,786,9,False,motion_hypothesis,False
43,43,393,790.3880157470703,786,794,8,False,motion_hypothesis,False
44,44,399,798.6108551025391,794,803,9,False,motion_hypothesis,False
45,45,404,806.7560958862305,803,811,8,False,motion_hypothesis,False
46,46,410,815.1171798706055,811,820,9,False,motion_hypothesis,False
47,47,417,825.2104873657227,820,830,10,False,motion_hypothesis,False
48,48,424,833.809455871582,830,838,8,False,motion_hypothesis,False
49,49,429,841.9231948852539,838,846,8,False,motion_hypothesis,False
50,50,436,850.5099563598633,846,855,9,False,motion_hypothesis,False
51,51,442,859.4317398071289,855,864,9,False,motion_hypothesis,False
52,52,448,868.0451583862305,864,872,8,False,motion_hypothesis,False
