[ORB-SLAM3] solving the global RGB-D trajectory from the complete short-baseline scan
[1/267] RGB-D 17->18: fitness=0.340, rmse=0.3 mm, 2.76s
[2/267] RGB-D 18->19: fitness=0.341, rmse=0.2 mm, 0.18s
[3/267] RGB-D 19->20: fitness=0.351, rmse=0.3 mm, 0.11s
[4/267] RGB-D 20->21: fitness=0.350, rmse=0.4 mm, 0.12s
[5/267] RGB-D 21->22: fitness=0.351, rmse=0.2 mm, 0.11s
[6/267] RGB-D 22->23: fitness=0.356, rmse=0.3 mm, 0.13s
[7/267] RGB-D 23->24: fitness=0.348, rmse=0.4 mm, 0.12s
[8/267] RGB-D 24->25: fitness=0.349, rmse=0.3 mm, 0.13s
[9/267] RGB-D 25->26: fitness=0.348, rmse=0.4 mm, 0.11s
[10/267] RGB-D 26->27: fitness=0.348, rmse=0.4 mm, 0.10s
[11/267] RGB-D 27->28: fitness=0.354, rmse=0.4 mm, 0.12s
[12/267] RGB-D 28->29: fitness=0.362, rmse=0.4 mm, 0.12s
[13/267] RGB-D 29->30: fitness=0.359, rmse=0.3 mm, 0.11s
[14/267] RGB-D 30->31: fitness=0.360, rmse=0.3 mm, 0.10s
[15/267] RGB-D 31->32: fitness=0.364, rmse=0.4 mm, 0.11s
[16/267] RGB-D 32->33: fitness=0.366, rmse=0.4 mm, 0.10s
[17/267] RGB-D 33->34: fitness=0.367, rmse=0.3 mm, 0.10s
[18/267] RGB-D 34->35: fitness=0.366, rmse=0.3 mm, 0.10s
[19/267] RGB-D 35->36: fitness=0.363, rmse=0.3 mm, 0.10s
[20/267] RGB-D 36->37: fitness=0.369, rmse=0.4 mm, 0.09s
[21/267] RGB-D 37->38: fitness=0.369, rmse=0.2 mm, 0.11s
[22/267] RGB-D 38->39: fitness=0.375, rmse=0.4 mm, 0.10s
[23/267] RGB-D 39->40: fitness=0.374, rmse=0.5 mm, 0.10s
[24/267] RGB-D 40->41: fitness=0.368, rmse=0.3 mm, 0.10s
[25/267] RGB-D 41->42: fitness=0.368, rmse=0.3 mm, 0.10s
[26/267] RGB-D 42->43: fitness=0.375, rmse=0.4 mm, 0.10s
[27/267] RGB-D 43->44: fitness=0.386, rmse=0.3 mm, 0.10s
[28/267] RGB-D 44->45: fitness=0.386, rmse=0.4 mm, 0.11s
[29/267] RGB-D 45->46: fitness=0.384, rmse=0.4 mm, 0.11s
[30/267] RGB-D 46->47: fitness=0.376, rmse=0.3 mm, 0.11s
[31/267] RGB-D 47->48: fitness=0.381, rmse=0.5 mm, 0.12s
