[1/144] RGB-D 8->9: fitness=0.981, rmse=10.7 mm, 1.09s
[2/144] RGB-D 9->10: fitness=0.992, rmse=10.4 mm, 0.33s
[3/144] RGB-D 10->11: fitness=0.989, rmse=9.8 mm, 0.34s
[4/144] RGB-D 11->12: fitness=0.990, rmse=10.6 mm, 0.35s
[5/144] RGB-D 12->13: fitness=0.984, rmse=10.4 mm, 0.34s
[6/144] RGB-D 13->14: fitness=0.985, rmse=10.5 mm, 0.34s
[7/144] RGB-D 14->15: fitness=0.983, rmse=11.8 mm, 0.33s
[8/144] RGB-D 15->16: fitness=0.990, rmse=10.5 mm, 0.34s
[9/144] RGB-D 16->17: fitness=0.983, rmse=11.1 mm, 0.32s
[10/144] RGB-D 17->18: fitness=0.986, rmse=11.6 mm, 0.33s
[11/144] RGB-D 18->19: fitness=0.985, rmse=11.6 mm, 0.30s
[12/144] RGB-D 19->20: fitness=0.992, rmse=11.1 mm, 0.31s
[13/144] RGB-D 20->21: fitness=0.980, rmse=11.7 mm, 0.30s
[14/144] RGB-D 21->22: fitness=0.978, rmse=11.0 mm, 0.31s
[15/144] RGB-D 22->23: fitness=0.982, rmse=11.6 mm, 0.31s
[16/144] RGB-D 23->24: fitness=0.983, rmse=11.3 mm, 0.32s
[17/144] RGB-D 24->25: fitness=0.982, rmse=11.4 mm, 0.31s
[18/144] RGB-D 25->26: fitness=0.983, rmse=10.9 mm, 0.33s
[19/144] RGB-D 26->27: fitness=0.977, rmse=11.7 mm, 0.32s
[20/144] RGB-D 27->28: fitness=0.989, rmse=10.6 mm, 0.33s
[21/144] RGB-D 28->29: fitness=0.979, rmse=11.0 mm, 0.33s
[22/144] RGB-D 29->30: fitness=0.986, rmse=11.1 mm, 0.32s
[23/144] RGB-D 30->31: fitness=0.980, rmse=10.7 mm, 0.33s
[24/144] RGB-D 31->32: fitness=0.990, rmse=10.5 mm, 0.32s
[25/144] RGB-D 32->33: fitness=0.983, rmse=10.5 mm, 0.33s
[26/144] RGB-D 33->34: fitness=0.978, rmse=10.8 mm, 0.32s
[27/144] RGB-D 34->35: fitness=0.989, rmse=11.3 mm, 0.31s
[28/144] RGB-D 35->36: fitness=0.988, rmse=10.7 mm, 0.35s
[29/144] RGB-D 36->37: fitness=0.984, rmse=10.6 mm, 0.34s
[30/144] RGB-D 37->38: fitness=0.986, rmse=10.7 mm, 0.32s
[31/144] RGB-D 38->39: fitness=0.982, rmse=11.1 mm, 0.30s
[32/144] RGB-D 39->40: fitness=0.989, rmse=10.3 mm, 0.33s
[33/144] RGB-D 40->41: fitness=0.978, rmse=10.6 mm, 0.32s
[34/144] RGB-D 41->42: fitness=0.990, rmse=10.3 mm, 0.30s
[35/144] RGB-D 42->43: fitness=0.978, rmse=10.3 mm, 0.32s
[36/144] RGB-D 43->44: fitness=0.986, rmse=10.7 mm, 0.30s
[37/144] RGB-D 44->45: fitness=0.984, rmse=10.3 mm, 0.31s
[38/144] RGB-D 45->46: fitness=0.986, rmse=10.4 mm, 0.35s
[39/144] RGB-D 46->47: fitness=0.991, rmse=9.8 mm, 0.34s
[40/144] RGB-D 47->48: fitness=0.987, rmse=10.5 mm, 0.35s
[41/144] RGB-D 48->49: fitness=0.981, rmse=10.6 mm, 0.34s
[42/144] RGB-D 49->50: fitness=0.985, rmse=10.2 mm, 0.34s
[43/144] RGB-D 50->51: fitness=0.986, rmse=10.8 mm, 0.33s
[44/144] RGB-D 51->52: fitness=0.990, rmse=10.4 mm, 0.32s
[45/144] RGB-D 52->53: fitness=0.990, rmse=10.4 mm, 0.35s
[46/144] RGB-D 53->54: fitness=0.984, rmse=10.8 mm, 0.34s
[47/144] RGB-D 54->55: fitness=0.983, rmse=11.1 mm, 0.34s
[48/144] RGB-D 55->56: fitness=0.978, rmse=11.0 mm, 0.33s
[49/144] RGB-D 56->57: fitness=0.983, rmse=11.2 mm, 0.33s
[50/144] RGB-D 57->58: fitness=0.985, rmse=10.0 mm, 0.34s
[51/144] RGB-D 58->59: fitness=0.982, rmse=11.0 mm, 0.35s
[52/144] RGB-D 59->60: fitness=0.985, rmse=10.8 mm, 0.34s
[53/144] RGB-D 60->61: fitness=0.987, rmse=10.3 mm, 0.33s
[54/144] RGB-D 61->62: fitness=0.977, rmse=10.4 mm, 0.32s
[55/144] RGB-D 62->63: fitness=0.987, rmse=9.7 mm, 0.30s
[56/144] RGB-D 63->64: fitness=0.986, rmse=10.0 mm, 0.31s
